player_id,name,predicted_value_2026
27389,Kévin Gameiro,452832.0992712184
44162,Miralem Pjanić,2603101.3228677586
58267,Castro,168387.11486507882
39152,Radamel Falcao,541796.8679169663
24202,Vasco Fernandes,102747.35548943718
58330,Víctor Díaz,231734.09098274237
19619,Oleksandr Rybka,63640.67307523197
51161,Zivko Zivkovic,144711.34501763375
56416,Dries Mertens,933413.0669805412
48119,Danijel Aleksic,540472.9711916524
56831,Juan Neira,73566.58310223141
54534,Agustín Marchesín,609299.8151336734
54781,Nicolás Otamendi,567150.5985746704
59594,Marko Vejinović,168319.24621367332
25734,Denys Kulakov,73860.06846882691
59047,Vasyl Grytsuk,87568.12485054848
56523,Michiel Kramer,162340.84869805406
61397,Sergey Pesjakov,292948.3231882078
45403,André Ayew,559618.8121960365
47713,Mamadou Sakho,449239.14528751303
50219,Simon Mignolet,937966.8878821307
59446,Denys Sydorenko,52611.05407628908
53350,Egor Filipenko,104867.68976193588
61592,James Tomkins,413630.35606001184
49016,Yevgen Past,58901.976721847
60410,Marcos Acuña,2723145.3600007603
54265,Ryan McGowan,105084.63704320013
62514,Aleksandr Belenov,158283.24622988363
59561,Dani Parejo,1457265.1168917385
61253,José Callejón,494627.9764120469
59377,David de Gea,2789142.954751374
59597,Maciej Rybus,98872.6578558227
59641,Denis Odoi,171104.22385523195
60444,Thiago Alcántara,5694020.634848948
52477,Sergey Parshivlyuk,128989.85107417943
53077,Alberto Botía,132200.04360938756
59970,Taras Stepanenko,1353413.7033468082
63342,Leroy Fer,143635.43750677042
63489,Vasilios Lampropoulos,211947.62431376282
63494,Étienne Capoue,865985.8657603611
52480,Rúben Ribeiro,67961.56961676663
58939,Oleksiy Palamarchuk,254697.5472137754
40613,Jack Cork,513370.9742304152
45146,Mario Balotelli,674895.0762383312
64341,Anton Kravchenko,54981.99033803503
64371,Pedro Moreira,77050.29656899854
64399,Vicente Guaita,513214.4408627916
64598,Bernardo Espinosa,520857.06065533054
59323,Cristhian Stuani,1250034.8244675063
65467,Vicente Iborra,251177.36122328555
57895,Denys Oliynyk,62356.98353594451
58072,Yaroslav Martynyuk,49063.57624098681
58150,Andriy Tkachuk,30966.768335710676
65278,Pedro,547879.3080612288
59631,Nacer Chadli,245529.40540683115
53622,İlkay Gündoğan,9465129.856751168
38780,Vítor Gomes,62815.7955076357
60164,Anastasios Avlonitis,76784.83914206678
43010,Martin Spelmann,31591.51798931968
36898,Sascha Burchert,136244.04306511162
35207,Marco Reus,2787180.6616301136
54383,John Fleck,536193.1561135576
58855,Erdem Özgenç,149150.44183317272
25488,Antonio Candreva,490389.8759639036
68864,Kevin Strootman,398652.326108812
44720,Matti Lund Nielsen,17764.478049444948
44726,Anders Jacobsen,208079.23117572954
48859,Simon Kjær,844274.8885653397
56354,Andreas Bjelland,39383.61889171009
61336,Brian Hämäläinen,55083.98524458926
69015,Andriy Yarmolenko,1206028.1775268097
66934,Cheikhou Kouyaté,583933.15739551
70411,Darko Lazović,767746.6905770925
48870,Jonas Lössl,233862.62780889095
38253,Robert Lewandowski,8674280.692470465
63463,Daniel Wass,540821.6832970673
59248,Miguel Lopes,39608.46665489492
72441,Rafael Tolói,1514838.5320490077
27490,Jean-Louis Leca,128053.56173112565
70074,Artur Nigmatullin,523521.10946097376
70114,Anton Zabolotnyi,534351.1641823336
58418,Vadym Milko,71699.9252045195
58930,Volodymyr Chesnakov,59429.486417962624
73700,Nikolaos Kaltsas,170848.13428594515
73741,Souza,286137.0663646524
66953,Murat Akça,42868.108429814754
68983,Kevin Mensah,156770.88779721796
69511,Patrick Mortensen,271315.4198746984
59866,Victor Moses,611359.0797330878
70923,Bogdan Kogut,77269.13540984425
67556,Milan Djuric,1702383.0155254612
59016,David Alaba,13373617.55855338
46413,Ante Budimir,3194412.5277911946
14881,Marcelo Carné,321527.20536117884
45333,James McCarthy,156461.85750467257
76028,Taison,344454.38652351225
42072,Tobias Kempe,405137.86381507927
56100,Leon Balogun,85775.60083874522
60577,Nicolas N'Koulou,351740.07298476086
77001,Rajiv van La Parra,151079.70223570595
45672,Kevin Trapp,2615872.9300670875
73564,Jason Steele,3041977.672415064
77547,Ehsan Hajsafi,371071.8217660998
44466,Sebastian Rode,557480.6785703569
48805,Mads Albaek,61278.466609894116
78961,Gary Mackay-Steven,133251.7015783133
53455,Richard Sukuta-Pasu,75842.5435754543
78570,Anthony Moris,2184578.614444245
